time_data,waveform
0.0104967168,1.88672
0.010497024,1.88672
0.010497331199999998,1.91016
0.010497638399999999,1.89453
0.0104979456,1.89453
0.0104982528,1.89453
0.01049856,1.91016
0.010498867200000001,1.91016
0.010499174399999998,1.87891
0.010499481599999999,1.90234
0.0104997888,1.90234
0.010500096,1.89453
0.010500403200000001,1.88672
0.010500710399999998,1.89453
0.010501017599999999,1.93359
0.0105013248,1.88672
0.010501632,1.90234
0.010501939200000001,1.90234
0.010502246399999998,1.94141
0.010502553599999999,1.93359
0.0105028608,1.89453
0.010503168,1.89453
0.010503475200000001,1.91797
0.010503782399999998,1.91016
0.010504089599999999,1.87109
0.0105043968,1.88672
0.010504704,1.91797
0.0105050112,1.89453
0.010505318399999998,1.89453
0.010505625599999999,1.91016
0.0105059328,1.89453
0.01050624,1.88672
0.0105065472,1.91016
0.010506854399999998,1.91016
0.010507161599999999,1.88672
0.0105074688,1.90234
0.010507776,1.91016
0.0105080832,1.88672
0.010508390399999998,1.91016
0.010508697599999998,1.90234
0.0105090048,1.91016
0.010509312,1.93359
0.0105096192,1.88672
0.010509926400000001,1.88672
0.010510233599999998,1.91797
0.010510540799999999,1.89453
0.010510848,1.87891
0.0105111552,1.88672
0.010511462400000001,1.90234
0.010511769599999998,1.91016
0.010512076799999999,1.91797
0.010512384,1.91016
0.0105126912,1.91016
0.010512998400000001,1.90234
0.010513305599999998,1.90234
0.010513612799999999,1.89453
0.01051392,1.89453
0.0105142272,1.91797
0.0105145344,1.91797
0.010514841599999998,1.85547
0.010515148799999999,1.90234
0.010515456,1.91797
0.0105157632,1.87891
0.0105160704,1.90234
0.010516377599999998,1.90234
0.010516684799999999,1.91797
0.010516992,1.95703
0.0105172992,1.89453
0.0105176064,1.91016
0.010517913599999998,1.91016
0.010518220799999999,1.91797
0.010518528,1.91016
0.0105188352,1.89453
0.0105191424,1.91016
0.010519449599999998,1.90234
0.010519756799999998,1.90234
0.010520063999999999,1.91797
0.0105203712,1.89453
0.0105206784,1.91016
0.010520985600000001,1.89453
